anime_titles,anime_ids,anime_genres
A Dog of Flanders,435,['drama']
Marco - From the Apennines to the Andes,436,"['adventure', 'drama', 'slice of life']"
Raccoon Rascal,437,['drama']
The Perrine Story,438,"['drama', 'slice of life']"
The Adventures of Tom Sawyer,439,"['adventure', 'drama', 'slice of life']"
Swiss Family Robinson,440,"['adventure', 'slice of life']"
Lucy-May of the Southern Rainbow,441,['drama']
The Alps Story: My Annette,442,"['drama', 'slice of life']"
"Katry, the Cow Girl",443,"['drama', 'slice of life']"
A Little Princess Sara,444,"['drama', 'slice of life']"
Machine Robo: The Running Battlehackers,445,"['adventure', 'science fiction']"
Magic Knight Rayearth 2,446,"['adventure', 'fantasy', 'romance']"
Banner of the Stars,447,"['action', 'drama', 'romance', 'science fiction']"
Banner of the Stars II,448,"['drama', 'science fiction']"
Genesis Climber Mospeada,449,"['adventure', 'science fiction']"
The Super Dimension Cavalry Southern Cross,450,"['adventure', 'drama', 'science fiction']"
The Rose of Versailles,451,"['drama', 'fantasy', 'romance']"
Princess Knight,452,"['adventure', 'comedy', 'fantasy']"
Maeterlinck's Blue Bird,453,['adventure']
Case Closed,454,"['adventure', 'comedy', 'drama', 'mystery', 'thriller']"
New Moomin,455,[]
Ashita no Joe,456,"['drama', 'tournament']"
Steel Angel Kurumi 2,457,"['action', 'comedy', 'romance', 'science fiction']"
Angel Sanctuary,458,"['drama', 'psychological', 'romance', 'supernatural']"
Battle Athletes,459,"['comedy', 'science fiction', 'tournament']"
Battle Athletes Victory,460,"['comedy', 'science fiction', 'tournament']"
Marmalade Boy,461,"['comedy', 'drama', 'romance']"
Campus,462,"['erotica', 'fantasy', 'romance', 'supernatural']"
JoJo's Bizarre Adventure,463,"['action', 'adventure', 'drama', 'fantasy', 'supernatural']"
X,464,"['action', 'drama', 'magic', 'psychological']"
Ghost in the Shell,465,"['action', 'psychological', 'science fiction']"
Gunbuster,466,"['adventure', 'drama', 'science fiction']"
Geneshaft,467,"['adventure', 'science fiction']"
eX-Driver,468,"['action', 'science fiction']"
Cosmo Warrior Zero Gaiden,469,"['drama', 'science fiction']"
Spy of Darkness,470,['erotica']
Record of Lodoss War: Chronicles of the Heroic Knight,471,"['adventure', 'drama', 'fantasy']"
Trouble Chocolate,472,"['action', 'comedy', 'magic', 'romance', 'science fiction']"
La Blue Girl,473,"['action', 'erotica', 'fantasy', 'horror']"
Legend of Himiko,474,"['adventure', 'drama', 'fantasy']"
Haitoku no Shoujyo - Family of Debauchery,475,"['erotica', 'psychological']"
Alice in Wonderland,476,"['adventure', 'fantasy']"
Bikkuri-Man,477,"['comedy', 'fantasy']"
Bikkuriman 2000,478,[]
Chibi Maruko-chan,479,"['comedy', 'slice of life']"
Kickers,480,"['comedy', 'drama', 'tournament']"
